ts,main_cycle,main_value,main_cash,main_npos,shadow_cycle,shadow_value,shadow_cash,shadow_npos
2026-08-25T04:05:24.284198+00:00,14017,505.5,373.94,3,99,498.78,370.86,3
2026-08-25T04:09:38.216227+00:00,14022,505.44,373.94,3,103,498.63,370.86,3
2026-08-25T04:14:55.415977+00:00,14027,505.63,373.94,3,108,498.91,370.86,3
2026-08-25T04:20:12.554797+00:00,14032,505.39,373.94,3,113,498.62,370.86,3
2026-08-25T04:25:44.455785+00:00,14037,505.55,373.94,3,118,498.86,370.86,3
2026-08-25T04:31:01.723435+00:00,14042,505.22,373.94,3,123,498.59,370.86,3
2026-08-25T04:36:18.683287+00:00,14046,505.31,373.94,3,128,498.67,370.86,3
2026-08-25T04:41:35.810980+00:00,14051,505.25,373.94,3,133,498.61,370.86,3
2026-08-25T04:46:03.886324+00:00,14056,505.02,373.94,3,137,498.37,370.86,3
2026-08-25T04:51:20.778852+00:00,14061,505.22,373.94,3,142,498.51,370.86,3
2026-08-25T04:56:37.387547+00:00,14066,505.19,373.94,3,147,498.48,370.86,3
2026-08-25T05:01:53.782491+00:00,14071,505.47,373.94,3,152,498.76,370.86,3
2026-08-25T05:07:24.700652+00:00,14076,505.81,373.94,3,157,499.08,370.86,3
2026-08-25T05:11:38.020011+00:00,14081,505.9,373.94,3,161,499.18,370.86,3
2026-08-25T05:16:54.583300+00:00,14086,505.85,373.94,3,166,499.12,370.86,3
2026-08-25T05:22:11.421470+00:00,14091,505.84,373.94,3,171,499.11,370.86,3
2026-08-25T05:27:43.036451+00:00,14096,506.08,373.94,3,176,499.34,370.86,3
2026-08-25T05:32:59.490580+00:00,14101,506.33,373.94,3,181,499.61,370.86,3
2026-08-25T05:38:16.047255+00:00,14106,506.3,373.94,3,186,499.57,370.86,3
2026-08-25T05:42:29.359300+00:00,14111,506.24,373.94,3,190,499.49,370.86,3
2026-08-25T05:48:00.877884+00:00,14116,506.02,373.94,3,195,499.22,370.86,3
2026-08-25T05:53:17.821686+00:00,14121,506.32,373.94,3,200,499.54,370.86,3
2026-08-25T05:58:34.522100+00:00,14126,506.17,373.94,3,205,499.44,370.86,3
2026-08-25T06:03:50.745926+00:00,14130,506.03,373.94,3,210,499.3,370.86,3
2026-08-25T06:08:18.332323+00:00,14135,505.96,373.94,3,214,499.23,370.86,3
2026-08-25T06:13:35.235297+00:00,14140,505.85,373.94,3,219,499.12,370.86,3
2026-08-25T06:18:52.749652+00:00,14145,506.22,373.94,3,224,499.48,370.86,3
2026-08-25T06:24:09.319006+00:00,14150,506.21,373.94,3,229,499.48,370.86,3
2026-08-25T06:29:40.834811+00:00,14155,506.03,373.94,3,234,499.31,370.86,3
2026-08-25T06:34:58.224165+00:00,14160,505.65,373.94,3,239,499.0,370.86,3
2026-08-25T06:40:14.689215+00:00,14165,505.52,373.94,3,244,498.84,370.86,3
2026-08-25T06:44:26.442921+00:00,14170,505.51,373.94,3,248,498.8,370.86,3
2026-08-25T06:49:55.685439+00:00,14175,505.47,373.94,3,253,498.76,370.86,3
2026-08-25T06:55:10.420082+00:00,14180,505.27,373.94,3,258,498.56,370.86,3
2026-08-25T07:00:25.393472+00:00,14185,505.22,373.94,3,263,498.52,370.86,3
2026-08-25T07:05:55.382374+00:00,14190,505.97,373.94,3,268,499.24,370.86,3
2026-08-25T07:11:10.387804+00:00,14195,505.89,373.94,3,273,499.16,370.86,3
2026-08-25T07:16:25.326516+00:00,14200,505.86,373.94,3,278,499.08,370.86,3
2026-08-25T07:20:37.304030+00:00,14205,505.65,373.94,3,282,498.93,370.86,3
2026-08-25T07:26:06.954837+00:00,14210,505.89,373.94,3,287,499.03,370.86,3
2026-08-25T07:31:21.913463+00:00,14215,505.81,373.94,3,292,499.05,370.86,3
2026-08-25T07:36:36.487777+00:00,14220,505.74,373.94,3,297,499.01,370.86,3
2026-08-25T07:41:51.085906+00:00,14225,505.59,373.94,3,302,498.87,370.86,3
2026-08-25T07:47:20.228378+00:00,14230,505.69,373.94,3,307,498.96,370.86,3
2026-08-25T07:52:35.120888+00:00,14235,504.06,373.94,3,312,497.4,370.86,3
2026-08-25T07:57:49.509463+00:00,14240,504.44,373.94,3,317,497.74,370.86,3
2026-08-25T08:02:00.930521+00:00,14245,504.06,373.94,3,321,497.45,370.86,3
2026-08-25T08:07:29.778379+00:00,14250,504.28,373.94,3,326,497.57,370.86,3
2026-08-25T08:12:44.203703+00:00,14255,504.42,373.94,3,331,497.74,370.86,3
2026-08-25T08:17:58.531900+00:00,14260,504.72,373.94,3,336,498.03,370.86,3
2026-08-25T08:23:12.844314+00:00,14265,504.87,373.94,3,341,498.14,370.86,3
2026-08-25T08:28:41.458010+00:00,14270,505.14,373.94,3,346,498.43,370.86,3
2026-08-25T08:33:55.696614+00:00,14275,505.03,373.94,3,351,498.32,370.86,3
2026-08-25T08:39:09.622176+00:00,14280,504.75,373.94,3,356,498.06,370.86,3
2026-08-25T08:43:20.902489+00:00,14285,504.77,373.94,3,360,497.98,370.86,3
2026-08-25T08:48:49.799831+00:00,14289,504.73,373.94,3,365,498.02,370.86,3
2026-08-25T08:54:04.477039+00:00,14294,504.5,373.94,3,370,497.79,370.86,3
2026-08-25T08:59:19.142726+00:00,14299,504.51,373.94,3,375,497.82,370.86,3
2026-08-25T09:04:33.853530+00:00,14304,504.25,373.94,3,380,497.57,370.86,3
2026-08-25T09:10:03.014765+00:00,14309,504.37,373.94,3,385,497.69,370.86,3
2026-08-25T09:15:17.451828+00:00,14314,504.63,373.94,3,390,497.86,370.86,3
2026-08-25T09:19:28.870608+00:00,14319,504.53,373.94,3,394,497.84,370.86,3
2026-08-25T09:24:43.520938+00:00,14324,504.68,373.94,3,399,497.99,370.86,3
2026-08-25T09:30:12.705930+00:00,14329,504.34,373.94,3,404,497.72,370.86,3
2026-08-25T09:35:27.214805+00:00,14334,504.58,373.94,3,409,497.89,370.86,3
2026-08-25T09:40:42.535295+00:00,14339,504.56,373.94,3,414,497.88,370.86,3
2026-08-25T09:45:56.744708+00:00,14344,504.57,373.94,3,419,497.85,370.86,3
2026-08-25T09:51:26.009422+00:00,14349,504.09,373.94,3,424,497.41,370.86,3
2026-08-25T09:55:37.601571+00:00,14354,503.53,373.94,3,428,496.88,370.86,3
2026-08-25T10:00:52.504241+00:00,14359,503.69,373.94,3,433,496.96,370.86,3
2026-08-25T10:06:06.913648+00:00,14364,503.71,373.94,3,438,497.03,370.86,3
2026-08-25T10:11:35.920102+00:00,14369,503.76,373.94,3,443,497.1,370.86,3
2026-08-25T10:16:50.162608+00:00,14374,503.6,373.94,3,448,496.97,370.86,3
2026-08-25T10:22:04.623625+00:00,14379,503.77,373.94,3,453,497.11,370.86,3
2026-08-25T10:27:33.531463+00:00,14384,503.73,373.94,3,458,497.06,370.86,3
2026-08-25T10:32:48.252007+00:00,14389,503.66,373.94,3,463,497.02,370.86,3
